Date,Close,Volume,SMAVG (15)
11/10/1998,630.01001,239952992,229538544
11/9/1998,627.66998,206614000,235779456
11/6/1998,632.53998,212598896,237626768
11/5/1998,627.27002,249099504,246760272
11/4/1998,618.51001,275867584,252251344
11/3/1998,615.22998,213726896,254602720
11/2/1998,616.12,222955600,260055344
10/30/1998,608.04999,213481104,261973600
10/29/1998,602.82001,217880704,270118464
10/28/1998,592.65997,205155808,288644928
10/27/1998,591.60999,251980896,299278560
10/26/1998,595.03003,214264992,306158624
10/23/1998,593.37,193094896,317960544
10/22/1998,597.13,229012704,330399584
10/21/1998,589.46997,297391616,339638336
10/20/1998,580.46002,333566592,337949760
10/19/1998,585.08002,234323696,332708800
10/16/1998,582.16998,349601408,331555328
10/15/1998,577.87,331465696,324440672
10/14/1998,553.34998,311138112,320734464
10/13/1998,546.62,295516416,320442208
10/12/1998,549.75,251729296,315028768
10/9/1998,540.47998,335654304,311468896
10/8/1998,526.46002,495777504,305449152
10/7/1998,532.33002,364660288,288186304
10/6/1998,539.28998,355181792,280472768
10/5/1998,541.75,391293696,271659552
10/2/1998,549.09998,379680704,263055584
10/1/1998,542.07001,367593888,256439632
9/30/1998,561.38,272063200,251223152
9/29/1998,579.02002,254952192,250363216
9/28/1998,579.16998,217021296,253258832
9/25/1998,575.88,242881504,253956736
9/24/1998,574.89001,275872800,257603888
9/23/1998,586.33002,306754400,260404160
9/22/1998,567.54999,214314592,270486496
9/21/1998,562.75,198331296,281322240
9/18/1998,559.35999,245357904,288259424
9/17/1998,558.38,236835008,292526176
9/16/1998,574.19,248957104,290242848
9/15/1998,571,222983504,287675808
9/14/1998,567.5,262234400,285196352
9/11/1998,556.38,280441312,285918752
9/10/1998,539.65997,289346816,281916544
9/9/1998,555.25,259164192,278009088
9/8/1998,565.76001,298386304,276100992
9/4/1998,536.77002,227489792,269422304
9/3/1998,542.67999,297588800,267225568
9/2/1998,546.37,317877088,259550656
9/1/1998,550.09003,457989504,251026048
8/31/1998,526.85999,376850400,235308496
8/28/1998,571.78003,302389184,220714288
8/27/1998,581.66998,309359392,215091616
8/26/1998,603.88,202584992,209651712
8/25/1998,604.67999,210451600,216188368
8/24/1998,600.52002,185791696,220121264
8/21/1998,594.64001,273070304,220308064
8/20/1998,597.71997,220408192,215038688
8/19/1998,600.90002,230734800,214331648
8/18/1998,601.33002,230542800,211596960
8/17/1998,592.37,198205904,211995136
8/14/1998,579.22998,194538800,212360896
8/13/1998,586.17999,182465296,214688464
8/12/1998,591.78003,190007808,217065200
8/11/1998,584.21997,222226304,222906416
8/10/1998,590.65997,157937200,223864464
8/7/1998,592.77002,218049104,225220320
8/6/1998,595.15002,227760800,225053424
8/5/1998,588.48999,300634912,223433792
8/4/1998,581.09003,269445088,218606480
8/3/1998,603.57001,188593696,212876656
7/31/1998,606.19,194029600,211506064
7/30/1998,619.10999,209802496,210273200
7/29/1998,608.65002,189714704,210627072
7/28/1998,613.40997,236515392,211392160
7/27/1998,622.84998,203692192,206657792
7/24/1998,617.45001,229452400,203172288
7/23/1998,614.22998,218116400,197502496
7/22/1998,628.31,277625888,194361808
7/21/1998,629.09003,236597200,189065808
7/20/1998,640.34003,178275008,183135744
7/17/1998,639.69,215545600,179915568
7/16/1998,637.56,203466400,178563312
7/15/1998,630.98999,228225104,179879968
7/14/1998,632.41998,183497696,178264784
7/13/1998,626.83002,168034896,176934048
7/10/1998,624.26001,175536704,179094576
7/9/1998,618.98999,215110400,178637712
7/8/1998,621.94,201191104,178711120
7/7/1998,616.20001,165500000,177659552
7/6/1998,618.31,151409408,177091760
7/2/1998,610.90997,144405600,178963248
7/1/1998,612.72998,171006000,179745008
6/30/1998,607.01001,198185904,179518720
6/29/1998,610.13,147646400,175782976
6/26/1998,606.03998,129972400,174882160
6/25/1998,602.42999,195261600,177429040
6/24/1998,605.66998,223216400,176406416
6/23/1998,596.87,203997200,174611328
6/22/1998,585.39001,163536704,174873008
6/19/1998,583.97998,200442704,177098080
6/18/1998,586.37,168683904,174430432
6/17/1998,584.46997,216211392,172766064
6/16/1998,574.58002,185417696,172118096
6/15/1998,567.28003,156983104,170185600
6/12/1998,578.60999,179481696,169524240
6/11/1998,575.19,156131904,168903856
6/10/1998,584.54999,167611808,170550336
6/9/1998,587.91998,142149696,170014496
6/8/1998,584.21997,134134096,171038816
6/5/1998,582.83002,168175600,174555824
6/4/1998,571.54999,179922304,174719152
6/3/1998,562.87,196290000,174067616
6/2/1998,568.5,207922592,171177280
6/1/1998,565.73999,196912704,167708832
5/29/1998,567.21997,160428000,165100608
5/28/1998,572.28998,143718400,164280832
5/27/1998,570.21997,206491808,164469488
5/26/1998,568.03003,156430208,160131904
5/22/1998,578.19,147062896,158919200
5/21/1998,581.21002,170175808,158451856
5/20/1998,584.78998,180829104,159410592
5/19/1998,579.77002,159574304,157769232
5/18/1998,576.69,157514496,159810336
5/15/1998,576.26001,186889200,162938000
5/14/1998,582.21002,170625408,162240432
5/13/1998,583.94,170149296,163602240
5/12/1998,582.06,152935008,166624560
5/11/1998,576.53003,155895904,169191904
5/8/1998,577.88,157789296,170094976
5/7/1998,569.12,148131296,171153040
5/6/1998,574.40002,146548192,172532064
5/5/1998,580.84998,141428192,176837024
5/4/1998,583.52002,138239600,178107232
5/1/1998,581.84998,140052704,178328368
4/30/1998,579.34003,184556800,178809520
4/29/1998,568.75,156208896,177523200
4/28/1998,562.70001,190190800,179945840
4/27/1998,563.96997,204429504,179314528
4/24/1998,575.72998,176425696,177783008
4/23/1998,581.37,191052496,177396432
4/22/1998,587.84003,215484000,176619312
4/21/1998,583.72998,191445104,175704928
4/20/1998,581.71997,169442000,171952096
4/17/1998,579.39001,173660304,172081920
4/16/1998,569.34003,168816704,170826576
4/15/1998,577.10999,211122592,174077056
4/14/1998,576.25,160481200,170604832
4/13/1998,574.83002,141556704,170897536
4/9/1998,576.84003,147269904,174276256
4/8/1998,572.90997,165262208,173540384
4/7/1998,576.67999,192548496,172601760
4/6/1998,582.23999,180721104,170614352
4/3/1998,587.14001,181456704,167007344
4/2/1998,585.15002,170626896,167469632
4/1/1998,579.04999,179395696,168155984
3/31/1998,575,201768304,168285232
3/30/1998,570.09998,135152704,168283872
3/27/1998,569.84998,171389200,173977504
3/26/1998,572.29999,154830208,176010000
3/25/1998,573.25,217574000,185035136
